"profit","loss","targetloanstatus"
0,12375,"1"
931.54,0,"0"
1369.92,0,"0"
1810.5,0,"0"
4757.5,0,"0"
2842.515,0,"0"
5709,0,"0"
1541.16,0,"0"
474,0,"0"
3115,0,"0"
1065,0,"0"
2986.5,0,"0"
634.5,0,"0"
518.1,0,"0"
0,7100,"1"
2012.4,0,"0"
0,22400,"1"
620.3625,0,"0"
0,22250,"1"
3018.6,0,"0"
745.2,0,"0"
0,7650,"1"
3832.5,0,"0"
0,20675,"1"
1042.8,0,"0"
901.2,0,"0"
3806,0,"0"
904.5,0,"0"
5042.12,0,"0"
3885.75,0,"0"
0,20500,"1"
1589.76,0,"0"
2936.7375,0,"0"
888.3,0,"0"
1274.52,0,"0"
0,29000,"1"
1427,0,"0"
1115.875,0,"0"
794.4,0,"0"
633.865,0,"0"
2436,0,"0"
0,12000,"1"
1269,0,"0"
1596,0,"0"
3567.5,0,"0"
2378.4,0,"0"
1552.2375,0,"0"
675.9,0,"0"
0,10000,"1"
1252.575,0,"0"
1597.5,0,"0"
1753.7,0,"0"
1522.8,0,"0"
3654,0,"0"
4281,0,"0"
0,21600,"1"
1274.52,0,"0"
869.4,0,"0"
623,0,"0"
621.72,0,"0"
444.15,0,"0"
445,0,"0"
1171,0,"0"
607.05,0,"0"
1405.2,0,"0"
2283.6,0,"0"
1328.94,0,"0"
639,0,"0"
1580,0,"0"
1811.16,0,"0"
4757.5,0,"0"
2854,0,"0"
485.64,0,"0"
534,0,"0"
1480.5125,0,"0"
2225,0,"0"
1629,0,"0"
1242,0,"0"
337.68,0,"0"
745.2,0,"0"
632,0,"0"
4347,0,"0"
1171,0,"0"
826.1,0,"0"
495.5,0,"0"
692.25,0,"0"
4060,0,"0"
1522.8,0,"0"
0,8250,"1"
1659,0,"0"
1408.68,0,"0"
888.3,0,"0"
0,12000,"1"
0,7200,"1"
1278,0,"0"
1826.56,0,"0"
302.255,0,"0"
1318.5,0,"0"
0,10000,"1"
991,0,"0"
0,10000,"1"
1384.65,0,"0"
4098.5,0,"0"
971.28,0,"0"
2996.7,0,"0"
2675.7,0,"0"
5810.875,0,"0"
570.8,0,"0"
854.83,0,"0"
1602,0,"0"
585.5,0,"0"
927.55,0,"0"
2478.78,0,"0"
6660.5,0,"0"
1427,0,"0"
237,0,"0"
4757.5,0,"0"
4468.8,0,"0"
1465,0,"0"
948,0,"0"
1727,0,"0"
979,0,"0"
1527,0,"0"
331,0,"0"
301.5,0,"0"
445,0,"0"
0,6000,"1"
713.5,0,"0"
3524.79,0,"0"
0,7000,"1"
2662.5,0,"0"
0,3000,"1"
1450.68,0,"0"
5959.5675,0,"0"
495.5,0,"0"
1712.4,0,"0"
1490.4,0,"0"
0,13200,"1"
361.8,0,"0"
662,0,"0"
2173.5,0,"0"
692.25,0,"0"
751,0,"0"
1189.2,0,"0"
1427,0,"0"
1765.9125,0,"0"
1065,0,"0"
837.32,0,"0"
0,20000,"1"
3372.5,0,"0"
0,14125,"1"
7105,0,"0"
1725.84,0,"0"
2538,0,"0"
0,18000,"1"
2180.1,0,"0"
5869.5,0,"0"
4994.5,0,"0"
1405.2,0,"0"
971.28,0,"0"
3990,0,"0"
507.6,0,"0"
525.7,0,"0"
2023.5,0,"0"
1498.88,0,"0"
0,35000,"1"
2515.5,0,"0"
568.8,0,"0"
2245.1,0,"0"
2212,0,"0"
1189.2,0,"0"
0,16000,"1"
1246,0,"0"
1346.65,0,"0"
1538.25,0,"0"
1788.48,0,"0"
1585.6,0,"0"
532.6625,0,"0"
1618.8,0,"0"
0,12000,"1"
1025.1,0,"0"
5709,0,"0"
0,13000,"1"
0,7125,"1"
2555,0,"0"
1172,0,"0"
1463.75,0,"0"
1427,0,"0"
1618.8,0,"0"
1491,0,"0"
452.25,0,"0"
1902.72,0,"0"
1053.9,0,"0"
2763.2,0,"0"
1780,0,"0"
1214.1,0,"0"
0,9600,"1"
0,12000,"1"
2107.8,0,"0"
134.9,0,"0"
0,15000,"1"
2012.4,0,"0"
1712.4,0,"0"
1246,0,"0"
2489.76,0,"0"
1065,0,"0"
913.68,0,"0"
0,22250,"1"
2288.275,0,"0"
3767.28,0,"0"
1090.1,0,"0"
854.4,0,"0"
1677,0,"0"
1117.2,0,"0"
1090.1,0,"0"
2180.1,0,"0"
375.5,0,"0"
0,6000,"1"
404.7,0,"0"
0,8200,"1"
2111.4,0,"0"
532.5,0,"0"
569.6,0,"0"
2117.7,0,"0"
2107.8,0,"0"
2443.2,0,"0"
2279.64,0,"0"
1677,0,"0"
0,15000,"1"
713.5,0,"0"
568.8,0,"0"
1185,0,"0"
0,15700,"1"
1064,0,"0"
1124.16,0,"0"
3185.6,0,"0"
0,35000,"1"
3076.5,0,"0"
0,12000,"1"
639,0,"0"
4060,0,"0"
879,0,"0"
907.335,0,"0"
0,13000,"1"
2118.4,0,"0"
0,8000,"1"
2090.95,0,"0"
623,0,"0"
794.4,0,"0"
1523.6,0,"0"
1522.8,0,"0"
936.8,0,"0"
2606.4,0,"0"
479.25,0,"0"
621,0,"0"
586.44,0,"0"
6090,0,"0"
2832.9,0,"0"
998.9,0,"0"
1380.525,0,"0"
3499.2675,0,"0"
623,0,"0"
1185,0,"0"
303.525,0,"0"
2117.61,0,"0"
2767.05,0,"0"
6968.5,0,"0"
403.65,0,"0"
553,0,"0"
2810.4,0,"0"
2213.64,0,"0"
2024.75,0,"0"
1068,0,"0"
3195,0,"0"
0,1200,"1"
427.2,0,"0"
3760.2,0,"0"
640.8,0,"0"
1486.5,0,"0"
1603.35,0,"0"
2590.5,0,"0"
0,5000,"1"
1726.72,0,"0"
356,0,"0"
1738.8,0,"0"
3161.7,0,"0"
1863,0,"0"
0,35000,"1"
342.48,0,"0"
732.78,0,"0"
585.5,0,"0"
4272.4,0,"0"
0,13250,"1"
1798.02,0,"0"
2342,0,"0"
1422,0,"0"
3219.84,0,"0"
819.7,0,"0"
3990,0,"0"
603,0,"0"
343.575,0,"0"
2279.3,0,"0"
1165.725,0,"0"
1065,0,"0"
1873.6,0,"0"
498.4,0,"0"
2330.4,0,"0"
289.44,0,"0"
3662.5,0,"0"
0,10000,"1"
0,2200,"1"
0,24000,"1"
1264,0,"0"
991,0,"0"
0,10625,"1"
1406.4,0,"0"
0,7200,"1"
1068,0,"0"
621,0,"0"
6501,0,"0"
1954.8,0,"0"
3108.6,0,"0"
991,0,"0"
991,0,"0"
1952.6,0,"0"
1731.7725,0,"0"
0,10400,"1"
1065,0,"0"
3349.95,0,"0"
662,0,"0"
0,12000,"1"
474,0,"0"
3481.1875,0,"0"
2342,0,"0"
1896,0,"0"
0,17200,"1"
1335,0,"0"
0,10625,"1"
1230.6,0,"0"
4102,0,"0"
2553.6,0,"0"
3018.6,0,"0"
2140.5,0,"0"
2789.0575,0,"0"
1678.2525,0,"0"
1588.4475,0,"0"
0,16400,"1"
1251.315,0,"0"
1427,0,"0"
1738.8,0,"0"
0,13000,"1"
1756.5,0,"0"
0,5000,"1"
702.185,0,"0"
0,30000,"1"
2263.545,0,"0"
2748.6,0,"0"
238.32,0,"0"
3088.5,0,"0"
814.5,0,"0"
1042.56,0,"0"
0,12000,"1"
3115,0,"0"
1783.8,0,"0"
1804.7625,0,"0"
1390.625,0,"0"
3237.6,0,"0"
0,5000,"1"
2924.6,0,"0"
1006.2,0,"0"
713.52,0,"0"
0,5000,"1"
702.9,0,"0"
463.4,0,"0"
3054,0,"0"
0,8000,"1"
1189.2,0,"0"
2342,0,"0"
890,0,"0"
0,16000,"1"
1171,0,"0"
2932.2,0,"0"
496.8,0,"0"
1863,0,"0"
0,10000,"1"
4209.65,0,"0"
3908.275,0,"0"
6384,0,"0"
4024.8,0,"0"
2234.4,0,"0"
572.4375,0,"0"
738.7,0,"0"
623,0,"0"
370.2975,0,"0"
688.745,0,"0"
1226.3625,0,"0"
7105,0,"0"
2417.8,0,"0"
1997.8,0,"0"
784.85,0,"0"
703.2,0,"0"
1142.1,0,"0"
2030.4,0,"0"
395,0,"0"
4347,0,"0"
1461.5,0,"0"
0,5350,"1"
3172.5,0,"0"
1065,0,"0"
901.2,0,"0"
1783.8,0,"0"
527.4,0,"0"
0,6000,"1"
3354,0,"0"
6660.5,0,"0"
991,0,"0"
1189.2,0,"0"
464.125,0,"0"
1349,0,"0"
3278.8,0,"0"
1311.52,0,"0"
1427,0,"0"
2854,0,"0"
1348.515,0,"0"
0,19000,"1"
3508.98,0,"0"
3586.32,0,"0"
2747.385,0,"0"
0,24000,"1"
4231.15,0,"0"
958.5,0,"0"
1756.5,0,"0"
3728,0,"0"
1378.82,0,"0"
639,0,"0"
442.4,0,"0"
745.5,0,"0"
0,20300,"1"
639,0,"0"
4281,0,"0"
948,0,"0"
1453.725,0,"0"
3045.6,0,"0"
1155.68,0,"0"
3662.5,0,"0"
1618.8,0,"0"
0,2300,"1"
945.1875,0,"0"
0,18800,"1"
1405.2,0,"0"
711,0,"0"
676.4,0,"0"
1873.6,0,"0"
2190,0,"0"
4700.25,0,"0"
3650,0,"0"
809.4,0,"0"
713.52,0,"0"
852,0,"0"
0,24575,"1"
2637,0,"0"
1426.9,0,"0"
2198.88,0,"0"
1065.96,0,"0"
951.75,0,"0"
6267,0,"0"
1975.05,0,"0"
751,0,"0"
3799.4,0,"0"
1522.8,0,"0"
634.5,0,"0"
3420.9,0,"0"
2136,0,"0"
809.4,0,"0"
289.44,0,"0"
0,5000,"1"
857.025,0,"0"
3168.8,0,"0"
2459.1,0,"0"
0,17475,"1"
422.75,0,"0"
2506.8,0,"0"
396.1525,0,"0"
1164.3075,0,"0"
1609.92,0,"0"
0,34475,"1"
3210.75,0,"0"
2647.2,0,"0"
723.6,0,"0"
0,10050,"1"
4181.1,0,"0"
2590.5,0,"0"
2461.86,0,"0"
0,10000,"1"
1527,0,"0"
511.2,0,"0"
0,35000,"1"
0,18200,"1"
812.16,0,"0"
2180.1,0,"0"
381.75,0,"0"
624.33,0,"0"
515.24,0,"0"
761.4,0,"0"
4282.45,0,"0"
1786.4,0,"0"
0,17000,"1"
1422,0,"0"
3884,0,"0"
1269,0,"0"
1873.6,0,"0"
5977.2,0,"0"
2158.4,0,"0"
0,11100,"1"
2832.9,0,"0"
0,12000,"1"
585.5,0,"0"
