"targetloanstatus","creditpolicy","loanamnt","term","intrate","installment","grade","emplength","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"NoDefault","Y",16000,"60months",0.1788,405.26,"E",4,11.83,1,13,0.412,20,"N","N","Y","Gp4","Gp5","Y","living_expenses"
"NoDefault","Y",3600,"36months",0.0662,110.54,"A",8,11.75,0,8,0.695,28,"N","N","Y","Gp4","Gp4","N","other"
"NoDefault","Y",35000,"60months",0.1171,605.5,"B",3,5.15,0,9,0.016,24,"N","N","Y","Gp5","Gp1","Y","business"
"NoDefault","Y",10000,"36months",0.08,313.37,"A",6,12,3,6,0.535,36,"N","N","Y","Gp5","Gp5","N","business"
"NoDefault","Y",7500,"36months",0.1039,243.38,"B",3,14.85,2,10,0.441,13,"N","N","N","Gp3","Gp2","N","debt_consolidation"
"NoDefault","Y",17500,"36months",0.1472,604.25,"C",10,9.3,0,9,0.945,37,"Y","N","N","Gp5","Gp5","N","debt_consolidation"
"NoDefault","Y",13500,"36months",0.1269,452.86,"B",5,11.97,2,4,0.777,11,"N","N","N","Gp4","Gp3","Y","debt_consolidation"
"NoDefault","Y",30000,"60months",0.164,735.94,"E",10,21.8,1,10,0.691,18,"Y","N","N","Gp3","Gp5","Y","debt_consolidation"
"NoDefault","Y",2800,"36months",0.1095,91.6,"B",0,4.15,2,14,0.041,18,"N","N","N","Gp1","Gp1","N","living_expenses"
"NoDefault","Y",15000,"36months",0.1596,527.06,"C",10,21.35,3,8,0.611,23,"Y","N","Y","Gp3","Gp3","Y","credit_card"
"NoDefault","Y",2500,"36months",0.1322,84.51,"C",1,1.31,0,12,0,22,"N","N","Y","Gp4","Gp4","N","business"
"NoDefault","Y",7000,"36months",0.0542,211.12,"A",8,2.16,2,7,0.147,15,"N","N","Y","Gp5","Gp1","Y","living_expenses"
"NoDefault","Y",8000,"36months",0.1269,268.36,"B",5,10.05,0,7,0.977,18,"N","N","Y","Gp1","Gp3","N","debt_consolidation"
"NoDefault","Y",4500,"36months",0.0714,139.23,"A",10,10.11,0,13,0.033,38,"Y","N","Y","Gp5","Gp1","N","other"
"NoDefault","Y",25000,"36months",0.1074,815.4,"B",10,12.4,0,9,0.266,36,"Y","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","Y",20000,"36months",0.0654,613.35,"A",0,6.11,2,8,0.298,20,"N","N","N","Gp4","Gp4","Y","credit_card"
"NoDefault","Y",4125,"36months",0.1454,142.07,"D",5,22.46,0,12,0.335,15,"N","Y","N","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",32400,"36months",0.079,1013.81,"A",10,11.27,0,7,0.62,34,"Y","N","N","Gp4","Gp5","Y","debt_consolidation"
"NoDefault","Y",8075,"60months",0.1677,199.69,"E",2,19.42,1,10,0.46,12,"N","N","N","Gp1","Gp4","Y","credit_card"
"NoDefault","Y",12000,"60months",0.1186,266.09,"B",4,11.64,0,5,0.257,30,"N","N","N","Gp1","Gp2","Y","debt_consolidation"
"NoDefault","Y",3300,"36months",0.1171,109.16,"B",1,16.08,1,10,0.001,14,"N","N","N","Gp4","Gp1","Y","living_expenses"
"NoDefault","Y",30000,"36months",0.1427,1029.27,"C",3,17.8,1,13,0.499,26,"N","N","Y","Gp3","Gp5","Y","debt_consolidation"
"NoDefault","Y",16000,"36months",0.1186,530.36,"B",10,18.79,0,4,0.514,18,"Y","N","N","Gp4","Gp2","Y","debt_consolidation"
"NoDefault","N",10475,"36months",0.1533,364.82,"F",0,13.02,0,9,0.874,13,"N","N","N","Gp1","Gp3","N","debt_consolidation"
"NoDefault","Y",4500,"36months",0.1505,156.12,"D",1,11.78,1,9,0.493,31,"N","Y","N","Gp1","Gp2","Y","car"
"NoDefault","Y",6000,"36months",0.0749,186.61,"A",3,13.13,0,5,0.477,9,"N","N","N","Gp1","Gp2","N","debt_consolidation"
"NoDefault","Y",3500,"60months",0.1689,86.78,"D",5,3,0,5,0.302,8,"N","Y","N","Gp1","Gp1","Y","car"
