"creditpolicy.1","loanamnt","term","intrate","installment","grade.B","grade.C","grade.D","grade.E","grade.F","grade.G","emplength","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years.Y","delin2years.Y","homeowner.Y","annualinc_bin.L","annualinc_bin.Q","annualinc_bin.C","annualinc_bin.4","revolbal_bin.L","revolbal_bin.Q","revolbal_bin.C","revolbal_bin.4","verified.Y","purpose_mod.credit_card","purpose_mod.debt_consolidation","purpose_mod.educational","purpose_mod.home_improvement","purpose_mod.house","purpose_mod.major_purchase","purpose_mod.medical","purpose_mod.moving","purpose_mod.other","purpose_mod.renewable_energy","purpose_mod.small_business","purpose_mod.vacation","purpose_mod.wedding","Class"
1,10500,36,0.0751,326.67,0,0,0,0,0,0,10,4.46,2,5,0.067,28,1,0,1,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
1,14700,60,0.1149,323.22,1,0,0,0,0,0,10,9.63,1,10,0.374,31,1,0,1,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0"
1,3200,36,0.1809,115.83,0,0,0,0,1,0,0,6.38,0,2,0.996,3,0,0,1,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
1,15000,36,0.1349,508.96,0,1,0,0,0,0,4,20.41,2,16,0.288,39,0,0,1,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
1,6000,36,0.1484,207.53,0,0,1,0,0,0,1,12.87,0,6,0.854,8,0,0,0,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
1,28000,60,0.1065,603.92,1,0,0,0,0,0,1,14.05,0,6,0.243,18,0,0,0,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,35000,60,0.1199,500.39,1,0,0,0,0,0,4,19.92,1,7,0.337,28,0,0,1,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
0,8000,36,0.0996,257.99,1,0,0,0,0,0,3,0.48,1,3,0.192,3,0,0,1,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1,10000,36,0.0579,216.08,0,0,0,0,0,0,10,13.61,2,9,0.138,17,1,0,0,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
1,5000,36,0.0579,151.64,0,0,0,0,0,0,0,11.76,3,14,0.122,48,0,0,1,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"0"
